repo_url,description,readme
https://github.com/zeroviscosity/d3-js-step-by-step,http://zeroviscosity.com/category/d3-js-step-by-step,http://zeroviscosity.com/category/d3-js-step-by-stepd3.scale.category20b()d3.scaleOrdinal(d3.schemeCategory20b)d3.svg.arc()d3.arc()innerRadius().innerRadius(0)d3.layout.pie()d3.pie()
https://github.com/elhanarinc/deeplearning,Ceng 783 Deep Learning Assignments,
https://github.com/patrickfuller/imolecule,An embeddable webGL molecule viewer and file format converter.,"http://patrickfuller.github.io/imolecule/examples/ipython.htmlhttp://patrickfuller.github.io/imolecule/examples/mof.html\npip install imolecule\npython\nimport imolecule\nimolecule.draw(""CC1(C(N2C(S1)C(C2=O)NC(=O)CC3=CC=CC=C3)C(=O)O)C"")\nhttp://openbabel.org/docs/2.3.1/FileFormats/Overview.html\npip install imolecule\n\nimolecule\n````\n\nThe default site allows for loading molecules via a simple file drag-and-drop\ninterface.  Drag a file to anywhere in the browser and drop to load. This\ninterface communicates with openbabel via websocket, so most file formats should\nwork. Be sure to set the extensions of your files to their data type (ie. ""mol"",\n""pdb"", etc.) for format inference to work properly.\n\nIf you have an existing web server, tornado can be easily switched out for\nother libraries. If you want to use imolecule as a starting point for a\nbroader user interface, the server is written to be extensible. In both cases,\nread through the source code - it\'s surprisingly short.\n\nJavascript\n==========\n\nStart by downloading the minified javascript file:\n\n\n\nInclude this file alongside [jQuery](http://jquery.com/) in your project, and then use with:\n\n\n\nwhere `\'my-selector\'` is where you want to place imolecule, and `myMolecule` is\nan object. See below for more on the object structure, or just check out the\nincluded examples. The `imolecule.create()` method takes a few optional parameters,\nspecifying a few common drawing and camera types.\n\n\n\nMolecule Data Format\n====================\n\nAt its core, imolecule takes input chemical structures as javascript objects.\nAs an example, consider benzene:\n\n\n\nIf you want to make properly formatted JSON, you can use either `format_converter.py` as a script or run your own imolecule server to convert most chemical file formats to JSON.\n\nOpen Babel\n==========\n\n[Open Babel](http://openbabel.org/wiki/Main_Page) is an open-source library\nfor interconverting over 100 chemical file formats. imolecule uses Open Babel\nto convert input formats to JSON before drawing. Therefore, to use imolecule\nwith non-JSON formats, you will need Open Babel.\n\nOpen Babel is best installed through conda.\n\n\n\nIf you don\'t use conda, Open Babel can be installed from source. For more, read through the\n[Open Babel installation instructions](http://openbabel.org/docs/dev/Installation/install.html).\n\n"
https://github.com/nazmiasri95/Bidirectional-LSTM,Experimental on Bidirectional LSTM and comparison with LSTM,
https://github.com/tphinkle/pore_stats,"Event detection, extraction, and analysis in micro and nano resistive pulse experiments.",https://github.com/tphinkle/pore_stats/blob/master/qt_app/resources/logo.pnghttps://en.wikipedia.org/wiki/Tunable_resistive_pulse_sensinghttps://github.com/tphinkle/pore_stats/blob/master/qt_app/demo/full_view.pnghttps://github.com/tphinkle/pore_stats/blob/master/qt_app/demo/filter_demo.pnghttps://github.com/tphinkle/pore_stats/blob/master/qt_app/demo/scatter_plot_view.png
https://github.com/davidaknowles/tf_net,A custom conv net for the DREAM ENCODE challenge,METHODS.ipynbrun_all.sh\nexport DREAM_ENCODE_DATADIR=/myscratchspace/dream_encode/\ndownload_challenge_data.pygene_expression_pca.Rget_DNase_cuts.pyindex.shtrain.pysubmit.py
https://github.com/mmt/deeprl22,Study group for Deep Reinforcement Learning,http://rll.berkeley.edu/deeprlcourse/https://www.udacity.com/course/deep-learning--ud730https://www.youtube.com/playlist?list=PLiCLbsFQNFAxOmVeqPhI5er1LGf2-L9I4http://yann.lecun.com/exdb/publis/pdf/lecun-98b.pdfhttp://karpathy.github.io/2015/05/21/rnn-effectiveness/http://colah.github.io/posts/2015-08-Understanding-LSTMs/https://indico.io/blog/sequence-modeling-neuralnets-part1/https://indico.io/blog/sequence-modeling-neuralnets-part1/http://karpathy.github.io/2016/05/31/rl/http://www.deeplearningbook.org/https://www.tensorflow.org/tutorials/mandelbrothttps://www.tensorflow.org/get_started/summaries_and_tensorboardhttps://www.tensorflow.org/programmers_guide/supervisorhttps://www.tensorflow.org/programmers_guide/threading_and_queueshttps://github.com/tensorflow/tensorflow/tree/master/tensorflow/contrib/slimhttps://pypi.python.org/pypi/pudbhttp://cs231n.github.io
https://github.com/Patrick-Woo/CarND-LaneLines-P1,This is my first update.,
https://github.com/balaganesh99/project,project,
https://github.com/todddangerfarr/mlnd_p4_train_a_smartcab_to_drive,Udacity Machine Learning NanoDegree Project 4 - Reinforcement Learning: Train a Smartcab to Drive ,"smartcab/agent.pyLearningAgentTODOsmartcab/python smartcab/agent.pypython -m smartcab.agentsh\n    gamma_values = [(x / 100.0) for x in  range(30, 91, 10)]\n    epsilon_values = [(x / 100.0) for x in range(50, 55, 10)]\n    epsilon_decay_values = [(x / 100.0) for x in range(90, 100, 3)]\n\n    number_of_times = 5\n        for i in range(0, number_of_times):\n        iterative_data_collection(gamma_values, epsilon_values, epsilon_decay_values, str(i))\npython automated_data_collection.pysh\n    single_scenario_repeat_data_collection(0.50, 0.50, 0.99, 10)\npython automated_data_collection.py"
https://github.com/rohitvarkey/Compose3D.jl,A library to try and extend Compose.jl to 3D.,"http://composejl.org/colorjulia\ncube1 = cube(0mm,0mm,0mm,1mm) # a cube of size 1 unit at the origin.\nsphere1 = sphere(-5mm,0mm,0mm,0.1w) # a sphere with radius 1/10th of the width of the parent context and centered at (-5,0,0).\npyramid1 = pyramid(0mm,0mm,0.4d,2mm,1mm) # a pyramid with a corner at (0,0, 0.4*depth of parent context) of base 2mm and height 1mm.\ncontext1 = Context(0mm,0mm,0mm,10mm,10mm,10mm) # context with origin at (0,0,0) and all dimensions of 10 units \ncontext2 = compose(context1,cube1) # Returns context with the cube.\ncontext3 = compose(context2, sphere1, pyramid1) # Returns a context with all the geometries. Notice how we added 2 children in one line.\njulia\nfunction sierpinski(n)\n    if n == 0\n        compose(Context(0w,0h,0d,1w,1h,1d),pyramid(0w,0h,0d,1w,1h))\n    else\n        t = sierpinski(n - 1)\n        compose(Context(0w,0h,0d,1w,1h,1d),\n        (Context(0w,0h,0d,(1/2)w,(1/2)h,(1/2)d), t),\n        (Context(0.5w,0h,0d,(1/2)w,(1/2)h,(1/2)d), t),\n        (Context(0.5w,0.5h,0d,(1/2)w,(1/2)h,(1/2)d), t),\n        (Context(0w,0.5h,0d,(1/2)w,(1/2)h,(1/2)d), t),\n        (Context(0.25w,0.25h,0.5d,(1/2)w,(1/2)h,(1/2)d), t))\n    end\nend\n\ncompose(Context(-5mm,-5mm,-5mm,10mm,10mm,10mm),sierpinski(0))\nhttps://www.github.com/pranavtbhat"
https://github.com/catherinedevlin/ipython-sql,"%%sql magic for IPython, hopefully evolving into full SQL client",SQLAlchemy URL%sqlDATABASE_URLgetpass.getpass$%sqlresult.dicts()result.dict()$variable_name{variable_name}${}${variable_name}${}%sql<<%%sqlSQLAlchemy URLpandas.DataFrame()--persist--append\\d\\dtPGSpecial<<connection-arguments--append<<--file
https://github.com/rmalliga/Roja-Malligarjunan,Random,
https://github.com/JuliaPackageMirrors/SpikingNetworks.jl,Julia package mirror.,http://nbviewer.jupyter.org/gist/YaoLuCNS/6fcedfc9baff9c72f999
https://github.com/Ramprasad94/Yelp-Data-Analysis,Repository containing source code for performing data analysis on Yelp reviews and tips,
https://github.com/cagdasyetkin/raspberryPi3,Raspberry Pi Projects,
https://github.com/Shreyas3108/movielens-analytics-recomendation,Analytics of Movielens dataset (100k) along with recomendation based on the user preference,
https://github.com/daaltces/pydaal-getting-started,"Introduction and tutorials for using PyDAAL, i.e. the Python API of Intel Data Analytics Acceleration Library",https://software.intel.com/en-us/intel-daal./1-gentle-introductory-serieshttp://jupyter.org/https://software.intel.com/en-us/intel-distribution-for-pythonhttps://www.continuum.io/downloadshttps://www.continuum.io/downloadsbash    \n    conda create --name idp intelpython3_full python=3 -c intel    \n    source activate idp (on Linux and OS X)      \n    activate idp (on Windows)    \nhttps://software.intel.com/en-us/articles/using-intel-distribution-for-python-with-anaconda./2-pre-built-helper-classes./1-gentle-introductory-series/volume-3-analytics-model-building-deployment.ipynb./2-pre-built-helper-classes/LinearRegression./2-pre-built-helper-classes/RidgeRegression./2-pre-built-helper-classes/SVM./2-pre-built-helper-classes/DecisionForest./2-helper-function-classes/Kmeans./2-pre-built-helper-classes/PCA./2-pre-built-helper-classes/SVM./2-pre-built-helper-classes/Kmeans./3-custom-modules./3-custom-modules/customUtils./4-interactive-tutorials./4-interactive-tutorials/NumericTables_example.ipynb./4-interactive-tutorials/kmeans_example.ipynb./4-interactive-tutorials/LR_example.ipynb./4-interactive-tutorials/SVM_example.ipynb./4-interactive-tutorials/Regression_online_example.ipynb./4-interactive-tutorials/NaiveBayes_online_example.ipynb4-interactive-tutorials/https://archive.ics.uci.edu/ml/datasets
https://github.com/kellino/Genetic_Composition,simple attempt at an algorithmic composition using a genetic algorithm,https://github.com/kellino/Genetic_Composition
https://github.com/sofroniewn/2pRAM-paper,Notebooks accompanying the 2-photon random access mesoscope (2p-RAM) paper,http://mybinder.org/repo/sofroniewn/2pRAM-paperhttps://www.youtube.com/watch?v=LSYXueH1pzU&list=PLDOd6H-eiYAQ3rmK5HtiMNi-C2s3QsTTK
https://github.com/fukuta0614/chainer-SeqGAN,implementation of SeqGAN: Sequence Generative Adversarial Nets with Policy Gradient,"https://arxiv.org/abs/1609.05473\n# Ubuntu/Linux 64-bit Python 3.4\nexport TF_BINARY_URL=https://storage.googleapis.com/tensorflow/linux/cpu/tensorflow-0.11.0-cp34-cp34m-linux_x86_64.whl\n\n# Ubuntu/Linux 64-bit Python 3.5\nexport TF_BINARY_URL=https://storage.googleapis.com/tensorflow/linux/cpu/tensorflow-0.11.0-cp35-cp35m-linux_x86_64.whl\n\n# Mac OS X, CPU only, Python 3.4 or 3.5:\nexport TF_BINARY_URL=https://storage.googleapis.com/tensorflow/mac/cpu/tensorflow-0.11.0-py3-none-any.whl\n\npip install $TF_BINARY_URL\n\ncd oracle_test && python run_sequence_gan.py \n"
https://github.com/RazerM/orbital,High level orbital mechanics package.,"bash\n$ pip install orbitalpy\npython\nfrom orbital import earth, KeplerianElements, Maneuver, plot\n\nfrom scipy.constants import kilo\nimport matplotlib.pyplot as plt\n\norbit = KeplerianElements.with_altitude(1000 * kilo, body=earth)\nman = Maneuver.hohmann_transfer_to_altitude(10000 * kilo)\nplot(orbit, title='Maneuver 1', maneuver=man)\nplt.show()\nhttp://i.fraz.eu/5b84e.png"
https://github.com/ekarademir/exercises,Exercises from various courses and tutorials,https://github.com/rapidanalytics/Dublin-Airport-Challenge
https://github.com/istochkoj/coursera-MIPT-Project,Course 6. Final project/,
https://github.com/jngaravitoc/Lecture_notes_UofA,Lectures Notes of courses taken at the University of Arizona,
https://github.com/sofiatti/stat_analysis_radiobiological_data,Stat 215A paper refereeing project,
https://github.com/angelsalazar95/M-todos-Num-ricos,Códigos clases métodos numéricos,
https://github.com/modee00/DEP-Project,Consulting Project for the Department of Environmental Protection of NYC,
https://github.com/suwangcompling/bayesianmodels,Bayesian Modeling,
https://github.com/djays/DeepLearning_Bike_Rental,Building a simple neural network to estimate bike rentals,
https://github.com/psygrammer/dprl,의사결정(DP) + 강화학습(RL) + 온라인광고(OA) + 파이썬웹(Pyweb),
https://github.com/rj67/germVar2,TCGA germline variants,
https://github.com/marcelbernic/visual-teach-and-repeat,Projet de session (GLO-4001),
https://github.com/tperol/am207-NILM-project,Repo for am207 final project,
https://github.com/michelleful/ipynb-intro,iPython notebook intro for PyLadies Boston,
https://github.com/Himscipy/CODES,Collection of Various small CFD Codes ,
https://github.com/tayden/titanic-death-decider,Predicts the survival of Titanic passengers using a SVM classifier.,
https://github.com/jimmychou0704/Simulation,Monte Carol simulation of stochastic process,
https://github.com/mike-grayhat/quora_qp,Repository for quora question pairs competition,
https://github.com/subimal/class-demos,Simulations for teaching undergraduates,
https://github.com/FRESNA/openmod-atlite-de,Demonstration of using atlite to generate historical German 2012 wind and solar feed-in,openmod-atlite-de.ipynb
https://github.com/L4brax/ml_antoine_hess,Machine Learning projects - Ynov,test.csvtrain.csv*.csvtest.csv
https://github.com/bje-/NEMO,National Electricity Market Optimiser,https://github.com/bje-/NEMO/actions/workflows/buildtest.yml/badge.svghttps://coveralls.io/github/bje-/NEMO?branch=masterhttps://www.codefactor.io/repository/github/bje-/nemohttps://github.com/PyCQA/bandithttp://nemo.ozlabs.org/theworks.pngbash\npip install nemopt\nhttps://en.wikipedia.org/wiki/CMA-EShttps://nbviewer.org/urls/nemo.ozlabs.org/guide.ipynb?flush_cache=1http://nemo.ozlabs.org/pdoc/index.htmlnemohttp://ceem.unsw.edu.au/sites/default/files/documents/LeastCostElectricityScenariosInPress2013.pdfhttps://deap.readthedocs.io/en/master/https://pypi.org/project/Gooey/http://matplotlib.org/http://www.numpy.org/http://pandas.pydata.org/https://pint.readthedocs.iohttps://pypi.python.org/pypi/scoophttps://ray.io/https://www.sciencedirect.com/science/article/pii/S0301421512002169?via=ihub#s0010https://doi.org/10.1016/j.enpol.2012.03.011https://lists.ozlabs.org/listinfo/nemo-develhttps://github.com/bje-/NEMO/issueshttps://www.ceem.unsw.edu.au/staff/ben-ellistonhttps://www.ceem.unsw.edu.au/COPYINGhttps://www.industry.gov.au/Office-of-the-Chief-Economist/Publications/Pages/Australian-energy-technology-assessments.aspxhttp://www.co2crc.com.au/publication-category/reports/https://data.csiro.au/collections/collection/CIcsiro:44228https://aemo.com.au/en/energy-systems/major-publications/integrated-system-plan-isphttp://content.webarchive.nla.gov.au/gov/wayback/20140211194248/http://www.climatechange.gov.au/sites/climatechange/files/files/reducing-carbon/APPENDIX3-ROAM-report-wind-solar-modelling.pdfhttp://www.arena.gov.au/
https://github.com/AugustLONG/crawler,基于django和scrapy的采集系统,requirements.txthttp://scrapy-cluster.readthedocs.org/
https://github.com/donallmc/CarND-Traffic-Sign-Classifier-Project,Udacity Self-driving car course project 2,https://review.udacity.com/#!/rubrics/481/viewhttps://github.com/donallmc/CarND-Traffic-Sign-Classifier-Project/blob/master/Traffic_Sign_Classifier.ipynb-1 <= x <= 1
https://github.com/rkraig/cabi-predict,Predict near-term Capital Bikeshare availability using a random forest and Poisson regression. Display current status and predictions with leaflet.js map visualization.,
https://github.com/woobe/h2o_sandbox,H2O prototyping and experimentation,
https://github.com/pfctdayelise/leafvis,Python framework for visualising layer data using leaflet.,https://travis-ci.org/nfaggian/leafvis/notebooks/example.ipynb
https://github.com/johnkorn/speaker_recognition,Speaker recognition and verification with deep learning,
https://github.com/gavinmh/GADS12-NYC,General Assembly Data Science 12,mailto:gmh283@nyu.edujamesbev@gmail.commailto:shawnoakley@gmail.comhttps://github.com/gavinmh/GADS12-NYC/pulse#closed-issueshttps://github.com/gavinmh/GADS12-NYC/issues/newhttps://docs.google.com/presentation/d/1r2pWzZ3-ZvA4OiRVqTzDCSMj33RSI7_UrLn6kt9BZzQ/edit?usp=sharinghttps://github.com/gavinmh/GADS12-NYC/blob/master/lecture-1/lab-1a.mdhttps://github.com/gavinmh/GADS12-NYC/blob/master/lecture-1/lab-1a-submission-example.mdhttps://github.com/gavinmh/GADS12-NYC/blob/master/lecture-1/lab-1b.mdhttps://docs.google.com/presentation/d/1b9bYZ9MIBqEmsJ3x5dBVlwxbSW-v0n-SazICmxh_iwU/edit?usp=sharinghttps://github.com/gavinmh/GADS12-NYC/blob/master/lecture-2/simple-linear-regression-lab.pdfhttps://github.com/gavinmh/GADS12-NYC/blob/master/lecture-2/python-lab.ipynbhttps://github.com/gavinmh/GADS12-NYC/blob/master/lecture-2/numpy-lab.ipynbhttps://docs.google.com/presentation/d/1nzGQyOeE-kkv5SUXrBfSgBD_s4FaFeY1GekmqjqgQbE/edit?usp=sharinghttps://github.com/gavinmh/GADS12-NYC/tree/master/lecture-3https://github.com/gavinmh/GADS12-NYC/tree/master/lecture-3https://github.com/gavinmh/GADS12-NYC/tree/master/lecture-3https://docs.google.com/presentation/d/11QwBL5HggOPv5VBLLyCjVGu1C41nLxTEEJXNrFWWwb8/edit?usp=drive_webhttps://github.com/gavinmh/GADS12-NYC/tree/master/lecture-4https://github.com/gavinmh/GADS12-NYC/tree/master/lecture-4https://github.com/gavinmh/GADS12-NYC/tree/master/lecture-4https://github.com/gavinmh/GADS12-NYC/tree/master/lecture-4https://github.com/gavinmh/GADS12-NYC/tree/master/lecture-4https://github.com/gavinmh/GADS12-NYC/blob/master/lecture-4/project-1-regression.mdhttps://docs.google.com/presentation/d/1NZJv9sgmbFivNMt7X-faPrnGTNri_g4C6soWKzvsUvQ/edit?usp=sharinghttps://github.com/gavinmh/GADS12-NYC/tree/master/lecture-5https://github.com/gavinmh/GADS12-NYC/tree/master/lecture-5https://github.com/gavinmh/GADS12-NYC/tree/master/lecture-5https://docs.google.com/presentation/d/1evOrh5fxjUlr6F5zErzO_-Fc1Fo-s-T-0XxNeS8ZJiU/edit?usp=sharinghttps://github.com/gavinmh/GADS12-NYC/tree/master/lecture-6https://docs.google.com/presentation/d/1ibefIZ1XHUnlI7BIAQdoqUxlU-Ayxi1p7k2tPtZyVVM/edit?usp=sharinghttps://github.com/gavinmh/GADS12-NYC/tree/master/lecture-7https://docs.google.com/presentation/d/1TF6iAGHDrIKs3kN-smIWGdxIFUzwXRVK5Zj9GQvVz0E/edit?usp=sharinghttps://github.com/gavinmh/GADS12-NYC/tree/master/lecture-9https://docs.google.com/presentation/d/1-URWRvKe9ecwQiH3U639NzDORjnXE27MA4fVb6APbIY/edithttps://github.com/gavinmh/GADS12-NYC/tree/master/lecture-10https://github.com/gavinmh/GADS12-NYC/tree/master/lecture-10https://docs.google.com/presentation/d/1xcR9NX7spBurDak-Vzy3tlv08B_9LiHOBhAOr6xKK_Y/edit#slide=id.g3aa599f3c_3483https://github.com/gavinmh/GADS12-NYC/tree/master/lecture-11https://github.com/gavinmh/GADS12-NYC/tree/master/lecture-11https://docs.google.com/presentation/d/1WwoIrnmfq5Zd7BFg7kIdU4hvTJfy3gUKMYdfTaB0E8s/edit?usp=sharinghttps://docs.google.com/presentation/d/1WwoIrnmfq5Zd7BFg7kIdU4hvTJfy3gUKMYdfTaB0E8s/edit?usp=sharinghttps://docs.google.com/presentation/d/1YpLHCrr_vkXvq-2Pa5Snd1YDfBylexP22vJuDKf5wsU/edit?usp=sharinghttps://github.com/gavinmh/GADS12-NYC/tree/master/lecture-14https://docs.google.com/presentation/d/1U8roNE3xY-35u0uT9Nm_0snrNKK-LrHlYzL0RYPWzhI/edit?usp=sharinghttps://github.com/gavinmh/GADS12-NYC/tree/master/lecture-15https://docs.google.com/presentation/d/1KCo4Y5v89M1XJDyrOEnxtgTnROBE5F5vQoLZZo9USpU/edit?usp=sharinghttps://github.com/gavinmh/GADS12-NYC/tree/master/lecture-16https://github.com/gavinmh/GADS12-NYC/tree/master/lecture-16https://docs.google.com/presentation/d/11SdNjR-f7DxTii6h9-oHNWILiFPy0CCFCxOLCT24my8/edit?usp=sharinghttps://github.com/gavinmh/GADS12-NYC/tree/master/lecture-17https://docs.google.com/presentation/d/1gAKD9-_qRg4vNppzleAc7mxoUOe2aPPPEgDkIUOXqug/edit?usp=sharinghttps://github.com/gavinmh/GADS12-NYC/tree/master/lecture-18https://github.com/gavinmh/GADS12-NYC/tree/master/tips
https://github.com/htwangtw/DimensionsOfExperience,Scripts for paper Dimensions of Experience: Exploring the Ontology of the Wandering Mind,
https://github.com/learntextvis/code-samples,draft code to communicate ideas ,
https://github.com/athirara/GBM,Geometrical Brownian Motion,
https://github.com/alexisperrier/upem-topic-modeling,Cours sur le topic modeling - UPEM - Master Méthode computationnelle et analyse de contenu,
https://github.com/bryancshepherd/RunStatus,"Build a script running status tracker with R, Python and RPi",
https://github.com/jagman88/HACTproject_Julia,Describes and solves some simple HACT models in Julia.  The notes and code is modified and translated from Benjamin Moll's notes and codes: http://www.princeton.edu/~moll/notes.htm and http://www.princeton.edu/~moll/HACTproject.htm).,
https://github.com/timothydmorton/gaia-explore,first look into GAIA data,
https://github.com/doorleyr/SFCrime,Visualising crime in San Fransisco duing summer 2014,
https://github.com/RunZGit/Magicmail,Using Word2Vec techniques and K-Mean method to classifies Rose-Hulman sharepoint emails based on its content,
https://github.com/ramon-oliveira/deepstats,"Repository for ""Known Unknowns: Uncertainty Quality in Bayesian Neural Networks"" paper.",bash\npip install -r requirements.txt\nbash\npython run_experiment.py --dataset=mnist --model=mlp-dropout\nbash\npython plots_anova.py --dataset=mnist\n
https://github.com/Aniruddha-Tapas/Android_OpenCV_Scan2Excel,Android app to convert scanned tabular digit data to Excel using Tensorflow. [Incomplete],
https://github.com/koaning/python_data_intro,A beginner notebook for people who want to get started with python and data. Joy ensues! ,
https://github.com/profhuster/profhuster.github.io,Personal Web Site for Michael Huster (profhuster),
https://github.com/bz866/Exploration-on-New-York-Crime-Open-Data-Based-on-PolyGamy-Thoughts,NYU Big Data CourseTerm Project,spark_job_script.pyspark_validity_statistics.pysparksql_scriptall_area_code.pyarea_desc_rate.pyaverage_compliant_duration_each_borough.pyduration.pyduration.pyaverage_compliant_duration_each_borough.pypattern.pyplot.ipynbspark_job_script.py\nscp  dir/spark_job_script.py  NetID@dumbo.es.its.nyu.edu:/home/NetID\nNYPD_Complaint_Data_Historic.csv\nhadoop fs -copyFromLocal NYPD_Complaint_Data_Historic.csv\n\nmodule load python/gnu/3.4.4\nexport PYSPARK_PYTHON=/share/apps/python/3.4.4/bin/python\nexport PYTHONHASHSEED=0\nexport SPARK_YARN_USER_ENV=PYTHONHASHSEED=0\n\nspark-submit spark_job_script.py\n\nhadoop fs -getmerge name.out name.out\n
https://github.com/nikitakit/nbtools,Tools for IPython notebooks,
https://github.com/fperez/gh-activity,Tools to measure activity on github for a set of orgs and repos,
https://github.com/Anima-OS/Anima_Terminal,The default terminal. Based on gterm,monitor all the users\'  terminals <http://code.mitotic.org/graphterm/screenshots.html#dashboard-for-a-virtual-computer-lab-viewing-user-terminals>AjaxTerm <https://github.com/antonylesuisse/qweb/tree/master/ajaxterm>Terminology <http://www.enlightenment.org/p.php?p=about/terminology>yweatherscreenshots <https://github.com/mitotic/graphterm/blob/master/docs/screenshots.rst>YouTube Video <http://youtu.be/TvO1SnEpwfE>gtweetyweathergreveald3cloudgmatplot.pygraphterm-<version>tornadohttp://www.tornadoweb.org <http://www.tornadoweb.org>GraphTerm--auth_type=none~/.graphterm/_gterm_auth.txtgtermgraphtermgmenu newgtermlsvisudo gterm_setupPermission deniedGetting Started with GraphTerm <http://code.mitotic.org/graphterm/start.html>code.mitotic.org/graphterm <http://code.mitotic.org/graphterm>Talks and Tutorials <http://code.mitotic.org/graphterm/talks.html>@graphterm <https://twitter.com/intent/user?screen_name=graphterm>Issue Tracker <https://github.com/mitotic/graphterm/issues>AjaxTerm <https://github.com/antonylesuisse/qweb/tree/master/ajaxterm>jQuery <http://jquery.com>Ajax.org Cloud9 Editor <http://ace.ajax.org>CKEditor <http://ckeditor.com>d3.js <http://d3js.org/>Landslide <https://github.com/adamzap/landslide>pythontutor.com <http://pythontutor.com>Superfish <http://users.tpg.com.au/j_birch/plugins/superfish/>GraphTermBSD-license <http://www.opensource.org/licenses/bsd-license.php>
https://github.com/fanshi118/NLP_NMT_Project,Neural Machine Translation project for NLP Fall 2016,python translate.py source_language target_languagepython translate.py fr enplot_training_process.ipynb
https://github.com/yannche/pyCommon,ensemble de fichiers a mettre dans l'image virtualbox,
